OriginalTerm,MatchingTerm1,MatchingTerm2,MatchingTerm3,MatchingTerm4,MatchingTerm5
"Fertilizer Producer P,Q",fertilizer_production,,,,
Fibre muds,fibre_sludge,,,,
Fibre sludge,fibre_sludge,,,,
Filter Sludge,filter_sludge,,,,
Fly Ash(Le),fly_ash,fly_ash,,,
Food plant,,,,,
Forest ecosystem,forest,,,,
Fuel producers,,,,,
Fused alumina,fused_alumina,,,,
Fused Alumina,fused_alumina,,,,
Galvanized plate scraps,galvanized_scrap,,,,
Gasoline components,gasoline_components,,,,
Gasoline Components,gasoline_components,,,,
GB Metal,,,,,
Goran Arsjo Dackstommar,,,,,
Grain stillage,stillage,,,,
Granulated products,granulated_product,,,,
Granulated Products,granulated_product,,,,
Graphic packaging,,,,,
Graphic Packaging,,,,,
Gyproc,gypsum_board,,,,
H2SO4 Production,h2so4,,,,
Halogenous-free solvents,non_halogenated_solvents,,,,
Han Hwa Petrochemical,petrochemical_industry,,,,
HanGil,,,,,
Hanjoo Metal,,,,,
Hanju,,,,,
HanJu Metal,,,,,
Hankuk Pulp,pulp_production,pulp_production_process,pulp_industry,pulp_mill,
Hansol EME,,,,,
Hardware recycle plant,,,,,
Hh-waste,,,,,
High Sulfur Coal,high_sulphur_coal,,,,
Hisemlt,,,,,
Holmen Paper,paper_mill,paper_mills,,,
Hot Sea water,sea_water,seawater,,,
HuSung,,,,,
Hydrogen peroxide plant,hydrogen_peroxide,,,,
Hydropower plant,hydropower_station,,,,
HyoSung 2nd Company,,,,,
HyunDai Heavy WIF,,,,,
Hyundai Hysco Co.,,,,,
HyunDai Motor,,,,,
Ibicon,,,,,
IISin Poly-Tech,,,,,
IL Recycling,,,,,
IlSin Poly-Tech,,,,,
Imported aluminum scrap,aluminum_scrap,aluminum_scraps,,,
Industrial Complex,,,,,
Instant Noodles,instant_noodle,,,,
International Power Mitsui,,,,,
Iron manufacturing industry,iron_manufacturing_process,,,,
Iron scrap dealer,iron_scrap,,,,
IWM,,,,,
JinYang Chemical,,,,,
JSE,,,,,
JungGu FWTF,,,,,
K+ and Mg+ Salts Production,potassium_salts,magnesium_salts,,,
Kara/Noveren,,,,,
KCC,,,,,
Kerosenes,kerosene,,,,
Kiln Gas(SO2),kiln_gas,,,,
Koentec,,,,,
Korea Alcohol,alcohol_production,alcohol_production_process,,,
Korea PTG,,,,,
Korea Pulp,pulp_production,pulp_production_process,pulp_industry,pulp_mill,
Korea Zinc,zinc_smelting,,,,
KP chemical,,,,,
Kumbo tire (tianjin) Co.,rubber_tire,rubber_tires,,,
KumHo Petrochemical,,,,,
Kunsul chemical,,,,,
Kwinana Nitrogen Co.,nitrogen_production,,,,
Kwinana Power Station,power_station,,,,
KWRP recycled water,recycled_water,,,,
Ld-dust,steelmaking_dust,,,,
LG Chemical,,,,,
Liquid SO2,so2,sulphur_dioxide,,,
Lithium bromide plant,lithium_bromide,,,,
Local farms,farm,,,,
LS-Nikko,,,,,
Lube oil,lubrication_oil,waste_lubricant_oil,waste_lubricating_oil,,
Lube Oil,lubrication_oil,waste_lubricant_oil,waste_lubricating_oil,,
Mechanical Parts Plant,,,,,
Mechanical Parts(Lp),,,,,
Mecroalgae producer,microalgae_cultivation,,,,
"Medical packing processer J,U",,,,,
Medical waste mng G,medical_waste_treatment,,,,
Metal processing plant,metal_processing,,,,
Metal recycling plant,metal_recovery,,,,
Mid-graded Coal,coal,,,,
Mid-stream waste water,,,,,
Millennium Performance Chemicals,,,,,
Mining company,mining_company,,,,
Moderate Brine,brine,,,,
Molten sulphur,sulphur,,,,
Molten Sulphur,sulphur,,,,
MWM,,,,,
Mycelium (Le),mycelium,,,,
Nambu,,,,,
NamGu FWTF,,,,,
New lead scrap,lead_scrap,,,,
NH3 Production,ammonia_synthesis,,,,
NokSan MWWTF,wastewater_treatment_facility,,,,
Norrkopings kommun,,,,,
Northeast General Pharmaceutical Factory,pharmaceutical_industry,pharmaceutical_industry,,,
Novozymes/Novo Nordisk,biotechnology,biotechnology,,,
Nufarm Australia Limited,,,,,
Nufarm-Coogee PTY LTD,,,,,
Nufarm-Googee PTY LTD,,,,,
Oil recycling,waste_oil_recycling_device,,,,
Oil treatment company,oil_treatment,,,,
ONESTEEL Market Mills,,,,,
Onsan MWWTF,municipal_waste_water_treatment_plant,,,,
Organic composting plant,aerobic_composting,aerobic_composting_process,composting_process,composting_device,
Organic Waste Recycling center,organic_waste_recycling,,,,
Other auto die makers,,,,,
Other toyota family firms,,,,,
Pacific Industrial Company,,,,,
Paper manufacturing plant,paper_mill,paper_mills,,,
Paper producing industry1,paper_mill,paper_mills,,,
Paper producing industry2,paper_mill,paper_mills,,,
Paper producing industry3,paper_mill,paper_mills,,,
Paper producing industry4,paper_mill,paper_mills,,,
Paper producing industry5,paper_mill,paper_mills,,,
Paper producing industry6,paper_mill,paper_mills,,,
Paper pulp producer,paper_pulp,pulp_mill,,,
"Paper,glue",,,,,
PCB plant,printed_circuit_board,,,,
Pet-bottles,pet_bottles,waste_pet_bottles,,,
Petrochemical cluster,petrochemical_industry,,,,
Petrochemical Complex,petrochemical_industry,,,,
Petrol coke,petroleum_coke,petroleum_coke,,,
Phosphogypsum (Wet),phosphogypsum,waste_phosphogypsum,,,
Pine oil pitch,,,,,
Plastic additives plant,plastic_additive,,,,
Plastic flakes,plastic_flakes,,,,
